#feature	value	weight	wins	losses
pattern	106	-5.18414677932245	890	2488724
pattern	107	-1.4106698725852913	22247	1428986
pattern	108	-4.165831625741443	1281	1293831
pattern	109	-5.340728402577579	936	3061002
pattern	110	-5.600683598893963	419	1777196
pattern	111	-2.027023941327431	12217	1453454
pattern	112	-0.40941425488587774	52931	1249183
pattern	113	-4.37022556900533	1288	1595921
pattern	114	-9.673179145019498	10	2505417
pattern	115	-3.0931337872027593	4181	1444531
pattern	116	-0.7258877253113241	35611	1153302
pattern	117	-5.662178967535175	664	2994830
pattern	118	-3.4507366883644623	2604	1286461
pattern	119	-5.737601326791439	43	209425
pattern	120	-2.1045540593002916	12026	1546069
pattern	121	-3.191050285540351	4010	1527974
pattern	122	-0.5370365543027068	26691	715660
pattern	123	-10.164376849132477	6	2467105
pattern	124	-5.235563184553588	599	1763431
pattern	125	-2.3517518828062993	10133	1668026
pattern	126	-2.2069494897610875	9429	1342900
pattern	127	-0.40348336268988777	34689	813827
pattern	128	-2.8891821520398557	4777	1345941
pattern	129	-14.879007802064013	0	2896482
pattern	130	0.7632558337119557	52231	381557
pattern	131	0.17564879363736496	38488	506001
pattern	132	-14.857884716329657	0	2835941
pattern	133	-1.4808677644419166	20385	1404604
pattern	134	-2.7123827005680137	3554	839087
pattern	135	-5.780573209606826	628	3188483
pattern	136	0.33887089587759717	35960	401568
pattern	137	-9.007595315121689	25	3207047
pattern	138	-6.5925290724879115	276	3156587
pattern	139	-4.998812575756553	74	172056
pattern	140	-1.8905646832674872	10263	1065241
pattern	141	-1.9450920077180895	9846	1079231
pattern	142	-4.390451518297899	1082	1368078
pattern	143	-1.368669033057349	18427	1134934
pattern	144	-4.16134799039257	1620	1628890
pattern	145	-2.4263706438771546	9762	1731451
pattern	146	-5.033852032249094	788	1896028
pattern	147	-8.152368261519388	25	1363593
pattern	148	-0.06927388304827846	25569	429446
pattern	149	0.10832016137828321	33323	468609
pattern	150	0.7799530540738223	54332	390333
pattern	151	-2.0412359841267937	6462	779790
pattern	152	-2.219109107369443	9491	1368267
pattern	153	-3.570650224161598	3052	1699873
pattern	154	0.3627336287188627	36094	393560
pattern	155	-0.38496854768992456	18248	420257
pattern	156	-6.608545844485606	159	1848143
pattern	157	-2.242370402340113	5632	831047
pattern	158	-0.6274132520030764	30965	908789
