#value	pattern_data	pattern_string	frequency
298	3,71,256	3|O.X|...|XXX|	28673
299	3,7,207	3|.OO|..O|###|	28657
300	3,7,231	3|.OO|O..|###|	28653
301	3,78,32	3|..X|O.X|XX.|	28638
302	3,1,162	3|.O.|O..|.OX|	28615
303	3,1,110	3|..O|O.O|OOX|	28535
304	3,2,201	3|.OO|..O|.XO|	28530
305	3,12,384	3|OO.|..X|X..|	28515
306	3,1,360	3|O.O|O.O|..X|	28422
307	3,175,64	3|.XO|X.X|XXX|	28414
308	3,12,224	3|.OO|O.X|X..|	28286
309	3,1,356	3|O.O|O..|O.X|	28136
310	3,109,0	3|..X|X.X|X.X|	27907
311	3,111,73	3|..#|X.#|XX#|	27879
312	3,15,32	3|...|O.X|XXX|	27810
313	3,45,192	3|.OO|X.X|X.X|	27750
314	3,106,0	3|..X|X.X|.X.|	27703
315	3,1,326	3|O.O|...|OOX|	27650
316	3,105,2	3|..X|X.X|.OX|	27624
317	3,68,3	3|..X|...|XOO|	27560
318	3,110,1	3|..X|X.X|XXO|	27555
319	3,3,168	3|.O.|O.O|.XX|	27448
320	3,0,99	3|..O|O..|.OO|	27421
321	3,42,64	3|..O|X.X|.X.|	27356
322	3,3,448	3|OOO|...|.XX|	27308
323	3,5,234	3|.OO|O.O|XOX|	27284
324	3,10,100	3|..O|O.X|OX.|	27240
325	3,71,8	3|..X|..O|XXX|	27203
326	3,40,5	3|...|X.X|O.O|	27100
327	3,231,7	3|.XX|X..|###|	27014
328	3,12,160	3|.O.|O.X|X..|	26908
329	3,79,105	3|..#|O.#|XX#|	26907
330	3,5,40	3|...|O.O|X.X|	26903
331	3,0,98	3|..O|O..|.O.|	26891
332	3,13,320	3|O.O|..X|X.X|	26758
333	3,101,256	3|O.X|X..|X.X|	26720
334	3,105,6	3|..X|X.X|OOX|	26703
335	3,1,334	3|O.O|..O|OOX|	26701
336	3,70,160	3|.OX|O..|XX.|	26658
337	3,3,296	3|O..|O.O|.XX|	26591
338	3,15,455	3|OOO|..X|###|	26591
339	3,7,335	3|O.O|..O|###|	26559
340	3,175,71	3|.XO|X.X|###|	26506
341	3,3,200	3|.OO|..O|.XX|	26401
342	3,11,36	3|...|O.X|OXX|	26397
343	3,1,324	3|O.O|...|O.X|	26391
344	3,5,328	3|O.O|..O|X.X|	26391
345	3,42,192	3|.OO|X.X|.X.|	26361
346	3,13,34	3|...|O.X|XOX|	26226
347	3,12,35	3|...|O.X|XOO|	26219
348	3,5,42	3|...|O.O|XOX|	26157
349	3,13,224	3|.OO|O.X|X.X|	25884
350	3,99,0	3|..X|X..|.XX|	25832
351	3,1,290	3|O..|O..|.OX|	25828
352	3,229,256	3|OXX|X..|X.X|	25808
353	3,335,111	3|X.#|O.#|###|	25791
